127.0.0.1 - - [07/Feb/2021:15:22:27 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [07/Feb/2021:15:22:30 +0900] "GET /BBS/ HTTP/1.1" 200 289
0:0:0:0:0:0:0:1 - - [07/Feb/2021:15:22:33 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 3088
0:0:0:0:0:0:0:1 - - [07/Feb/2021:15:22:33 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [07/Feb/2021:15:22:33 +0900] "GET /BBS/css/custom.css HTTP/1.1" 200 251
0:0:0:0:0:0:0:1 - - [07/Feb/2021:15:22:33 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [07/Feb/2021:15:22:33 +0900] "GET /BBS/images/1.jpg HTTP/1.1" 200 2704658
0:0:0:0:0:0:0:1 - - [07/Feb/2021:15:22:33 +0900] "GET /BBS/images/2.jpg HTTP/1.1" 200 127825
0:0:0:0:0:0:0:1 - - [07/Feb/2021:15:22:33 +0900] "GET /BBS/images/3.jpg HTTP/1.1" 200 42045
0:0:0:0:0:0:0:1 - - [07/Feb/2021:15:22:33 +0900] "GET /BBS/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 200 20127
0:0:0:0:0:0:0:1 - - [07/Feb/2021:15:22:38 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4541
0:0:0:0:0:0:0:1 - - [07/Feb/2021:15:22:38 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2021:15:22:38 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2021:15:22:41 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 2816
0:0:0:0:0:0:0:1 - - [07/Feb/2021:15:22:41 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2021:15:22:41 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2021:15:22:44 +0900] "POST /BBS/writeAction.jsp HTTP/1.1" 200 428
0:0:0:0:0:0:0:1 - - [07/Feb/2021:15:22:46 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2384
0:0:0:0:0:0:0:1 - - [07/Feb/2021:15:22:46 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2021:15:22:46 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2021:15:22:50 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 481
0:0:0:0:0:0:0:1 - - [07/Feb/2021:15:22:50 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 3046
0:0:0:0:0:0:0:1 - - [07/Feb/2021:15:22:50 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2021:15:22:50 +0900] "GET /BBS/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2021:15:22:50 +0900] "GET /BBS/images/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2021:15:22:50 +0900] "GET /BBS/images/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2021:15:22:50 +0900] "GET /BBS/images/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2021:15:22:50 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2021:15:22:50 +0900] "GET /BBS/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2021:15:22:51 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4499
0:0:0:0:0:0:0:1 - - [07/Feb/2021:15:22:51 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2021:15:22:51 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2021:15:22:52 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 2774
0:0:0:0:0:0:0:1 - - [07/Feb/2021:15:22:52 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2021:15:22:52 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2021:15:22:55 +0900] "POST /BBS/writeAction.jsp HTTP/1.1" 200 392
0:0:0:0:0:0:0:1 - - [07/Feb/2021:15:22:55 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4505
0:0:0:0:0:0:0:1 - - [07/Feb/2021:15:22:55 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2021:15:22:55 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2021:15:22:57 +0900] "GET /BBS/view.jsp?bbsID=27 HTTP/1.1" 200 2994
0:0:0:0:0:0:0:1 - - [07/Feb/2021:15:22:57 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2021:15:22:57 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2021:15:22:58 +0900] "GET /BBS/update.jsp?bbsID=27 HTTP/1.1" 200 2775
0:0:0:0:0:0:0:1 - - [07/Feb/2021:15:22:58 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2021:15:22:58 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2021:15:23:00 +0900] "POST /BBS/updateAction.jsp?bbsID=27 HTTP/1.1" 200 386
0:0:0:0:0:0:0:1 - - [07/Feb/2021:15:23:00 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4505
0:0:0:0:0:0:0:1 - - [07/Feb/2021:15:23:00 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2021:15:23:00 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2021:15:23:02 +0900] "GET /BBS/view.jsp?bbsID=27 HTTP/1.1" 200 3003
0:0:0:0:0:0:0:1 - - [07/Feb/2021:15:23:02 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2021:15:23:02 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2021:15:23:11 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 3046
0:0:0:0:0:0:0:1 - - [07/Feb/2021:15:23:11 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2021:15:23:11 +0900] "GET /BBS/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2021:15:23:11 +0900] "GET /BBS/images/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2021:15:23:11 +0900] "GET /BBS/images/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2021:15:23:11 +0900] "GET /BBS/images/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2021:15:23:11 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2021:15:23:12 +0900] "GET /BBS/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2021:15:23:17 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4505
0:0:0:0:0:0:0:1 - - [07/Feb/2021:15:23:17 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2021:15:23:17 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2021:15:24:28 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 3046
0:0:0:0:0:0:0:1 - - [07/Feb/2021:15:24:28 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2021:15:24:28 +0900] "GET /BBS/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2021:15:24:28 +0900] "GET /BBS/images/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2021:15:24:28 +0900] "GET /BBS/images/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2021:15:24:28 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2021:15:24:28 +0900] "GET /BBS/images/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2021:15:24:28 +0900] "GET /BBS/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2021:15:47:49 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 3088
0:0:0:0:0:0:0:1 - - [07/Feb/2021:15:47:49 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2021:15:47:49 +0900] "GET /BBS/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2021:15:47:49 +0900] "GET /BBS/images/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2021:15:47:49 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2021:15:47:49 +0900] "GET /BBS/images/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2021:15:47:50 +0900] "GET /BBS/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2021:15:47:51 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [07/Feb/2021:15:48:03 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 3021
0:0:0:0:0:0:0:1 - - [07/Feb/2021:15:48:05 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 3021
0:0:0:0:0:0:0:1 - - [07/Feb/2021:15:48:12 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 3088
0:0:0:0:0:0:0:1 - - [07/Feb/2021:15:54:29 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 3078
0:0:0:0:0:0:0:1 - - [07/Feb/2021:15:54:34 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 3078
0:0:0:0:0:0:0:1 - - [07/Feb/2021:15:57:08 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 3078
0:0:0:0:0:0:0:1 - - [07/Feb/2021:15:57:08 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 3078
0:0:0:0:0:0:0:1 - - [07/Feb/2021:15:58:04 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4547
0:0:0:0:0:0:0:1 - - [07/Feb/2021:15:58:05 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 3078
0:0:0:0:0:0:0:1 - - [07/Feb/2021:15:58:42 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2974
0:0:0:0:0:0:0:1 - - [07/Feb/2021:15:58:44 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4547
0:0:0:0:0:0:0:1 - - [07/Feb/2021:15:58:45 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2974
0:0:0:0:0:0:0:1 - - [07/Feb/2021:15:58:46 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2974
0:0:0:0:0:0:0:1 - - [07/Feb/2021:16:01:04 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 3084
